Permet une détente musculaire,Au niveau moteur
Développe une tonicité au niveau du tronc,Au niveau moteur
Contribue au renforcement musculaire,Au niveau moteur
Travaille les fonctions d'équilibration,Au niveau moteur
Permet une dissociation des ceintures,Au niveau moteur
Améliore la coordination ou la dissociation gestuelle,Au niveau moteur
Travaille les différentes préhensions,Au niveau moteur
Apprend la régulation de la force musculaire,Au niveau moteur
Améliore la protection orthopédique,Au niveau moteur
Travaille la régulation de l'activité motrice,Au niveau moteur
Travaille la coordination occulo manuelle,Au niveau des fonctions supérieures/ cognitif
Développe le repérage spatial,Au niveau des fonctions supérieures/ cognitif
Travaille la spatialisation,Au niveau des fonctions supérieures/ cognitif
Améliore les notions de latéralité,Au niveau des fonctions supérieures/ cognitif
Favorise la mémorisation procédurale,Au niveau des fonctions supérieures/ cognitif
"Améliore les fonctions exécutives (planification, anticipation, stratégie..)",Au niveau des fonctions supérieures/ cognitif
Contribue à l'intégration du schéma corporel (proprioception),Au niveau des fonctions supérieures/ cognitif
Travaille les limites corporelles,Au niveau des fonctions supérieures/ cognitif
Travaille la capacité de concentration,Au niveau des fonctions supérieures/ cognitif
Développe l'imagination,Au niveau des fonctions supérieures/ cognitif
Oblige la personne à respecter un cadre,Au niveau relationnel et social
Permet à la personne et son entourage d'apréhender autrement son handicap,Au niveau relationnel et social
Permet une ouverture sur le monde extérieur,Au niveau relationnel et social
Favorise la réinsertion,Au niveau relationnel et social
Est un vecteur de communication entre le thérapeute et l'enfant,Au niveau relationnel et social
Permet l'expression de sensations nouvelles,Au niveau relationnel et social
Developpe son indépendance autour de l'activité,Au niveau relationnel et social
Valorise l'expression verbale des sensations et des émotions,Au niveau relationnel et social
Optimise l'utilisation du langage oral par l'intermédiaire du poney,Au niveau relationnel et social
Apprend à s'affirmer de manière adaptée,Au niveau relationnel et social
"Travaille les intéractions en groupe, esprit d'équipe",Au niveau relationnel et social
Apprend le respect de l'animal,Au niveau psychologique/ émotionnel
Responsabilise la personne,Au niveau psychologique/ émotionnel
Valorise la personne,Au niveau psychologique/ émotionnel
Calme l'agressivité,Au niveau psychologique/ émotionnel
Permet une meilleure disponibilité pour les apprentissages,Au niveau psychologique/ émotionnel
Donne une sensation de bien-être,Au niveau psychologique/ émotionnel
Permet de ressentir et exprimer ses émotions,Au niveau psychologique/ émotionnel
Permet d'apprendre à gérer ses émotions,Au niveau psychologique/ émotionnel
Favorise la notion de lien et d'attachement,Au niveau psychologique/ émotionnel
Permet de se construire sa propre individualité/identité (travaille la séparation),Au niveau psychologique/ émotionnel
Travaille la notion de conscience et gestion du danger,Au niveau psychologique/ émotionnel
Permet d'apprendre à gérer la frustration,Au niveau psychologique/ émotionnel
